Judul Journal,Authors,Indeks
"International Journal on Advanced Science, Engineering and Information Technology (IJASEIT)",Indonesian Society for Knowledge and Human Development (Insight),S1 Accredited
Ahkam: Jurnal Ilmu Syariah,Universitas Islam Negeri Syarif Hidayatullah Jakarta,S1 Accredited
Indonesian Journal of Science and Technology,Universitas Pendidikan Indonesia,S1 Accredited
Asean Journal of Science and Engineering (AJSE),Universitas Pendidikan Indonesia,S1 Accredited
Makara Journal of Science,Universitas Indonesia,S1 Accredited
Bestuur,Universitas Sebelas Maret,S1 Accredited
Ijtihad : Jurnal Wacana Hukum Islam dan Kemanusiaan,Fakultas Syariah IAIN Salatiga,S1 Accredited
APTISI Transactions on Technopreneurship,Pandawan Sejahtera Indonesia,S1 Accredited
Journal of Education and Learning (EduLearn),Intelektual Pustaka Media Utama,S1 Accredited
Gadjah Mada International Journal of Business,Universitas Gadjah Mada,S1 Accredited
Indonesian Journal of Islam and Muslim Societies,Postgraduate Program IAIN Salatiga,S1 Accredited
IJoLE: International Journal of Language Education,Fakultas Bahasa dan Sastra Universitas Negeri Makassar,S1 Accredited
International Journal of Evaluation and Research in Education (IJERE),Institute of Advanced Engineering and Science,S1 Accredited
Journal of Indonesian Islam,Universitas Islam Negeri Sunan Ampel,S1 Accredited
Nazhruna: Jurnal Pendidikan Islam,Institut Pesantren KH Abdul Chalim,S1 Accredited
Journal of Indonesian Legal Studies,Universitas Negeri Semarang,S1 Accredited
QIJIS (Qudus International Journal Of Islamic Studies),"IAIN Kudus, Indonesia",S1 Accredited
IAES International Journal of Artificial Intelligence,Institute of Advanced Engineering and Science,S1 Accredited
Journal of the Indonesian Tropical Animal Agriculture,Faculty of Animal and Agricultural Sciences-Diponegoro University and Indonesian Society of Animal Agriculture (ISAA),S1 Accredited
Operations and Supply Chain Management: An International Journal,Laboratorium Logistik dan Supply Chain Management - Jurusan Teknik Industri ITS Surabaya,S1 Accredited
